X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
Mb,2,2,16,4,4,46,8.05,24,301,2,4.2,7.6,6.4,18.2,0.785714286,0.668,19.83,7.655,8.851,5.045
Mb,2,3,1,1,1,34.5,9.26,32,283,3,4.8,8.7,7.3,20.8,-0.1,0.7,19.16,5.637,9.374,1.007
Mb,2,3,2,1,2,39,6.51,16,98,2,3.4,5,6,14.4,-0.090909091,0.507,16.02,7.752,7.185,6.064
Mb,2,3,3,1,3,36.5,5.65,10,107,1,3.3,4.8,5.9,14,0.023255814,0.809,16.24,6.942,6.465,7.157
Mb,2,3,4,1,4,71.5,11.39,40,578,3,6.8,18.1,14.2,39.1,-0.018867925,0.721,18.4,7.954,5.61,7.085
Mb,2,3,5,2,1,60,6.95,36,580,2,6.7,8.6,8.8,24.1,0.85,1.003,22.98,8.046,12.27,1.091
Mb,2,3,6,2,2,52.5,9.23,25,351,2,5.3,10.6,13.7,29.6,0.196428571,0.639,20.07,6.804,6.86,5.34
Mb,2,3,7,2,3,88,13.67,67,1041,3,9.3,21.8,20.1,51.2,0,0.673,15.3,6.045,6.395,8.807
Mb,2,3,8,2,4,69,12.15,44,684,3,7.3,21.2,16.8,45.3,0.058823529,0.656,16.76,5.79,4.241,7.763
Mb,2,3,9,3,1,77.5,8.43,44,516,4,6.2,11.5,10.8,28.5,0.142857143,1.117,25.56,3.641,13.45,0.734
Mb,2,3,10,3,2,63.5,11.83,43,769,4,7.3,14.8,12.3,34.4,0.8125,0.895,20.6,6.412,5.768,7.904
Mb,2,3,11,3,3,81.5,12.29,25,812,1,7.4,21,12.9,41.3,0.586206897,0.986,18,6.6,5.69,8.807
Mb,2,3,12,3,4,100.5,15.1,46,848,2,9.4,28.4,19.4,57.2,0.302325581,0.787,19.46,8.004,6.332,6.713
Mb,2,3,13,4,1,43,6.12,12,132,2,2.8,5.6,4.5,12.9,0.666666667,1.173,21.56,7.027,6.226,7.719
Mb,2,3,14,4,2,56,9.89,38,567,3,6.4,11.5,10.2,28.1,0.756756757,,,,,
Mb,2,3,15,4,3,67,11.65,26,569,2,6.8,,,,0.035714286,0.702,17.07,7.384,5.727,4.469
Mb,2,3,16,4,4,78,11.58,47,898,3,7.4,18.3,12.5,38.2,0.666666667,1.025,26.33,7.683,7.441,1.998
Mb,2,4,1,1,1,52,10.12,22,308,1,4.8,8.4,10.9,24.1,-0.342105263,0.733,20.71,7.547,7.05,0.813
Mb,2,4,2,1,2,40,10.03,15,228,1,4.4,9.2,10.6,24.2,-0.026315789,0.65,20.28,7.45,5.419,3.5
Mb,2,4,3,1,3,51.5,10.54,30,581,2,6,11.4,14.4,31.8,0.181818182,0.758,20.54,6.176,4.593,8.411
Mb,2,4,4,1,4,39,7.68,15,201,1,4.1,8.7,9.6,22.4,-0.058823529,0.732,16.56,8.005,5.836,7.111
Mb,2,4,5,2,1,51,9.17,20,306,1,4.7,8.8,7.8,21.3,0.222222222,0.765,22.81,11.98,9.452,2.267
Mb,2,4,6,2,2,60,9.73,24,526,2,5.7,11.1,10.8,27.6,0.052631579,0.661,19.82,5.983,7.713,7.378
Mb,2,4,7,2,3,53.5,8.4,21,350,1,8.9,8.1,6.8,23.8,0.375,0.609,18.44,4.708,6.904,6.513
Mb,2,4,8,2,4,73,11.19,33,654,2,6.6,12.5,10.6,29.7,0.068965517,0.73,17.19,5.736,7.234,9.535
Mb,2,4,9,3,1,46,8.98,25,291,2,4.7,9.1,8.7,22.5,1,0.698,19.88,4.319,11.96,1.257
Mb,2,4,10,3,2,75.5,11.5,49,757,3,7.3,16.7,12,36,-0.055555556,0.742,18.16,4.182,7.777,6.501
Mb,2,4,11,3,3,56,11.28,26,356,2,5.3,11.5,12.1,28.9,0.192307692,0.759,19.98,5.871,7.817,5.081
Mb,2,4,12,3,4,41,7.14,16,199,1,3.7,5.4,5.9,15,0.4,0.648,17.45,7.068,7.422,7.997
Mb,2,4,13,4,1,60,8.23,22,369,1,4.6,7,6.5,18.1,1,1.361,22.86,4.932,15.39,1.212
Mb,2,4,14,4,2,69,9.36,29,644,2,5.7,10.3,8.6,24.6,0.785714286,0.626,16.33,7.918,6.514,6.805
Mb,2,4,15,4,3,46,7.56,16,255,2,3.5,6.9,7.4,17.8,0.205882353,0.587,17.15,8.341,8.259,5.104
Mb,2,4,16,4,4,68,10.17,39,858,2,6.5,11.7,10.1,28.3,0.53125,0.65,20.42,8.414,9.311,7.151
Mb,3,1,1,1,1,70,11.94,25,385,4,6.3,15.7,15.2,37.2,0.1,0.893,14.99,4.649,3.977,1.67
Mb,3,1,2,1,2,119,15.09,56,1084,3,10.5,35.4,24.5,70.4,-0.010526316,0.875,16.22,5.529,4.067,7.126
Mb,3,1,3,1,3,104,13.8,65,881,2,8.7,33.3,21.9,63.9,-0.0875,0.795,16.43,5.532,3.419,8.694
Mb,3,1,4,1,4,82,15.42,58,806,5,8.3,34.7,23.5,66.5,0.26744186,0.948,16.23,6.078,4.048,10.95
Mb,3,1,5,2,1,93,11.21,22,612,2,6.3,15.7,12.1,34.1,-0.085106383,1.242,19.75,3.032,9.22,0.606
Mb,3,1,6,2,2,57.5,10.07,11,205,2,4.1,13.8,10.6,28.5,0.338983051,0.822,12.88,5.864,6.164,4.63
Mb,3,1,7,2,3,82,12.12,34,453,3,6.3,23.2,15.5,45,0.186440678,1.321,23.27,5.349,6.97,6.297
Mb,3,1,8,2,4,66.5,12.19,25,391,5,5.5,15.3,15.3,36.1,0.015625,0.66,16.08,6.258,5.25,7.475
Mb,3,1,9,3,1,92,9.84,26,343,2,5.4,15.6,14.1,35.1,0.28358209,0.638,14.9,4.313,9.522,0.936
Mb,3,1,10,3,2,62,15.73,43,942,4,10,28,26.3,64.3,-0.125,1.139,18.38,4.624,7.748,7.055
Mb,3,1,11,3,3,84,14.48,42,650,4,7.4,31.1,22.1,60.6,0.22,1.337,20.49,5.9,6.597,9.448
Mb,3,1,12,3,4,110,16.67,58,802,5,8.3,33.8,25.4,67.5,0.304347826,0.746,13.91,5.205,5.727,8.835
Mb,3,1,13,4,1,81,12.47,39,632,6,6.1,21.9,15.5,43.5,0.129032258,1.199,18.56,2.98,15.23,1.73
Mb,3,1,14,4,2,88,15.56,52,927,3,8.5,26.7,20.2,55.4,0.019230769,1.124,19.45,4.785,5.387,7.842
Mb,3,1,15,4,3,88,14.48,43,834,3,9.2,24.7,20.5,54.4,1,0.984,21.75,4.915,4.176,6.856
Mb,3,1,16,4,4,85,15.61,41,1070,2,10.1,39.2,31.8,81.1,-0.0625,0.921,14.22,5.343,4.876,7.308
Mb,3,2,1,1,1,54,12.37,18,312,4,4.9,11.2,11.6,27.7,-0.016949153,1.22,21.7,3.082,7.709,1.921
Mb,3,2,2,1,2,58.5,10.67,17,282,2,4.6,12,11.2,27.8,-0.2,0.594,17.72,6.07,6.459,5.616
